[300, 700, 0, 550]
[500, 450, 800, 750]
[950, 550, 50, 700]
[650, 750, 50, 1000]
[500, 150, 400, 750]
[850, 1000, 350, 750]
[900, 950, 700, 1000]
[400, 1000, 100, 250]
[250, 200, 600, 150]
[350, 650, 900, 450]
[750, 100, 450, 1000]
[950, 100, 750, 500]
[500, 950, 600, 1000]
[350, 450, 1000, 700]
[200, 100, 300, 500]
[100, 550, 800, 50]
[450, 250, 150, 550]
[650, 550, 100, 1000]
[500, 100, 600, 50]
[400, 600, 950, 1000]
[850, 800, 0, 950]
[1000, 350, 0, 400]
[0, 50, 900, 200]
[700, 200, 350, 500]
[800, 600, 450, 750]
[0, 50, 150, 950]
[950, 400, 300, 700]
[450, 600, 200, 750]
[900, 200, 1000, 700]
[50, 250, 0, 350]
[550, 950, 650, 200]
[600, 100, 800, 500]
[750, 550, 650, 900]
[750, 550, 300, 50]
[350, 500, 50, 800]
[700, 750, 0, 550]
[600, 150, 850, 50]
[400, 850, 100, 200]
[200, 600, 650, 850]
[200, 500, 350, 50]
[550, 450, 850, 150]
[650, 800, 950, 400]
[400, 350, 900, 150]
[800, 500, 650, 100]
[1000, 500, 400, 750]
[500, 1000, 750, 350]
[0, 50, 550, 150]
[200, 100, 550, 0]
[750, 0, 900, 800]
