[1, 19, 3, 0]
[15, 20, 1, 4]
[16, 15, 1, 20]
[13, 3, 0, 6]
[13, 10, 3, 11]
[6, 7, 11, 0]
[5, 6, 0, 11]
[2, 1, 16, 7]
[18, 6, 10, 8]
[16, 11, 9, 1]
[19, 14, 9, 20]
[12, 2, 3, 17]
[12, 20, 13, 11]
[4, 1, 12, 6]
[10, 15, 11, 9]
[13, 7, 2, 17]
[19, 7, 2, 6]
[15, 11, 14, 19]
[14, 5, 15, 8]
[17, 19, 8, 6]
[15, 7, 5, 1]
[2, 15, 3, 9]
[4, 18, 9, 17]
[11, 3, 17, 4]
[19, 1, 3, 12]
[5, 0, 19, 10]
[8, 11, 18, 10]
[4, 12, 0, 5]
[13, 7, 14, 1]
[4, 20, 6, 13]
[16, 1, 12, 5]
[14, 11, 6, 15]
[4, 8, 6, 12]
[10, 2, 11, 4]
[7, 20, 2, 13]
[9, 18, 6, 2]
[13, 8, 3, 10]
[19, 7, 3, 14]
[16, 10, 7, 5]
[13, 3, 9, 7]
[5, 18, 13, 4]
[20, 2, 8, 14]
[20, 7, 11, 12]
[18, 6, 11, 15]
[14, 10, 18, 13]
[13, 3, 8, 4]
[16, 12, 1, 8]
[13, 17, 11, 4]
[15, 11, 20, 17]
[7, 6, 16, 19]
[7, 16, 2, 13]
[18, 9, 14, 11]
[7, 3, 19, 5]
[18, 16, 15, 14]
[16, 17, 3, 20]
[7, 15, 11, 2]
[5, 2, 19, 4]
[9, 11, 17, 15]
[14, 0, 2, 1]
[9, 16, 3, 14]
[18, 19, 9, 20]
[10, 6, 16, 5]
[7, 3, 4, 18]
[20, 15, 8, 19]
[8, 0, 6, 15]
[7, 2, 9, 20]
[10, 14, 8, 18]
[12, 1, 13, 14]
[16, 17, 19, 11]
[0, 2, 18, 7]
[14, 1, 6, 11]
[6, 13, 17, 2]
[20, 18, 5, 1]
[3, 4, 9, 19]
[2, 3, 5, 9]
[2, 17, 0, 15]
[8, 15, 18, 5]
[8, 13, 5, 1]
[6, 11, 16, 9]
[15, 20, 17, 0]
[6, 5, 3, 14]
[20, 1, 5, 4]
[5, 6, 14, 17]
[8, 15, 5, 11]
[16, 7, 0, 3]
[17, 10, 18, 12]
[19, 3, 18, 0]
[18, 3, 14, 13]
[7, 19, 0, 14]
[4, 16, 6, 8]
[7, 10, 15, 4]
[13, 14, 9, 18]
[11, 5, 19, 9]
[4, 11, 2, 3]
[8, 12, 15, 1]
[10, 3, 7, 19]
[4, 9, 16, 13]
